# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
K2-106 b,Confirmed,0.0263,0.003,0.003,,,,0.136,0.014,0.014,0.571292,1.30E-05,1.30E-05,0.0116,0.0013,0.0013,0,,,86.4,4.1,2.5,,2016,25/09/2017,,,,,,,,,,2457394.011,0.001,0.001,,,,,,,0.18,0.13,0.19,,,,6.67,0.69,0.69,2333,57,69,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,K2-106 b,,EPIC 220674823,13.0797796,10.7946987,12.1,,,,,253,50,50,-0.025,0.05,0.05,0.93,0.01,0.01,0.83,0.04,0.04,G5V,5,,,5814,18,18,,,"2MASS J00521914+1047409, TYC 608-458-1, K2-106"
K2-106 c,Confirmed,0.018,0.0094,0.01,,,,0.22,0.024,0.024,13.3397,0.00096,0.00096,0.105,0.015,0.015,0.18,0.15,0.15,89.35,0.46,0.46,,2016,25/09/2017,178,74,58,,,,,,,2457405.732,0.0044,0.0033,,,,,,,0.31,0.2,0.17,,,,1.67,0.88,0.99,774,36,46,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,K2-106 c,,EPIC 220674823,13.0797796,10.7946987,12.1,,,,,253,50,50,-0.025,0.05,0.05,0.93,0.01,0.01,0.83,0.04,0.04,G5V,5,,,5814,18,18,,,"2MASS J00521914+1047409, TYC 608-458-1, K2-106"
HAT-P-21 b,Confirmed,4.063,0.161,0.161,,,,1.024,0.092,0.092,4.124461,7.00E-06,7.00E-06,0.0494,0.0007,0.0007,0.228,0.016,0.016,87.2,0.7,0.7,0.000194,2010,28/09/2014,300,3,3,,,,,,,2454996.413,0.00069,0.00069,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-21,171.275,41.0280556,11.46,,,,,254,19,19,0.01,0.08,0.08,0.947,0.042,0.042,1.105,0.083,0.083,G3,10.2,2.5,2.5,5588,80,80,,,
Kepler-531 b,Confirmed,,,,,,,0.248,0.017,0.007,29.88485741,3.25E-05,3.25E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-531,286.524812,48.683601,,,11.772,11.245,11.177,254,,,-0.03,0.106,0.103,0.78,0.03,0.03,0.75,0.02,0.02,,,,,4893,49.34,47.74,,,
K2-39 b,Confirmed,0.125,0.014,0.014,,,,0.73,0.098,0.098,4.60543,0.00046,0.00046,0.062,0.012,0.01,0.152,0.068,0.084,80,4,4,,2016,02/02/2017,,,,,,,,,,2456980.824,0.0039,0.0039,,,,,,,0.57,0.2,0.15,,,,13.8,1.4,1.4,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-39,339.8666667,-9.022777783,10.83,,,,,255,,,0.32,0.04,0.04,1.53,0.13,0.13,3.88,0.42,0.48,,3.09,0.7,0.92,4881,20,20,,,
KELT-19 A b,Confirmed,4.07,4.06,0,,,,1.91,0.11,0.11,4.6117093,9.00E-06,9.00E-06,,,,,,,85.41,0.34,0.34,,2017,22/09/2017,,,,,,,,,,2457281.25,0.00036,0.00036,,,,180.3,3.8,3.8,0.6,0.03,0.03,,,,352,351,0,1935,38,38,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KELT-19 A,111.5125,7.615833358,,,,,,255,15,15,-0.12,0.51,0.51,1.62,0.25,0.25,1.83,0.1,0.1,A8V,1.1,0.1,0.1,7500,110,110,,,
Kepler-515 b,Confirmed,,,,,,,0.13,0.004,0.005,19.96371318,5.66E-05,5.66E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-515,290.493913,52.055611,,,11.295,10.946,10.885,255,,,0.08,0.112,0.139,0.9,0.03,0.03,0.83,0.03,0.03,,,,,5293,61.29,49.66,,,
XO-5 b,Confirmed,1.077,0.037,0.037,,,,1.03,0.05,0.05,4.1877537,1.70E-06,1.70E-06,0.0487,0.0006,0.0006,0,,,86.8,0.4,0.4,0.000191,2008,20/09/2012,,,,,,,,,,2454485.664,0.00028,0.00028,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,XO-5,116.7166667,39.0947222,12.13,,10.77,10.44,,255,13,13,0.18,0.03,0.03,0.88,0.03,0.03,1.06,0.05,0.05,G8V,8.5,0.8,0.8,5510,44,44,,,
HAT-P-34 b,Confirmed,3.328,0.211,0.211,,,,1.107,0.092,0.092,5.452654,1.60E-05,1.60E-05,0.0677,0.0008,0.0008,0.441,0.052,0.052,87.1,1.2,1.2,0.000263,2012,05/07/2012,20,14,14,,,,,,,2455431.596,0.00055,0.00055,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-34,303.1958333,18.105,10.16,,,,,257,17,17,0.08,0.05,0.05,1.36,0.01,0.01,1.45,0.11,0.11,,1.7,0.5,0.5,6509,51,51,,,
HATS-5 b,Confirmed,0.237,0.012,0.012,,,,0.912,0.025,0.025,4.763387,1.00E-05,1.00E-05,0.0542,0.0006,0.0006,0.019,0.019,0.019,89.3,0.3,0.3,,2014,16/01/2014,204,107,107,,,,,,,,,,2456273.791,0.0001,0.0001,,,,,,,,,,,,,1025,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HATS-5,67.22500002,-20.51805553,12.63,,,,,257,8,8,0.19,0.08,0.08,0.936,0.028,0.028,0.871,0.023,0.023,,3.6,2.6,1.9,5304,50,50,,,
HATS-7 b,Confirmed,0.12,0.012,0.012,,,,0.563,0.034,0.046,3.185315,5.40E-06,5.40E-06,0.04012,0.00043,0.00043,0,0,0.17,87.92,0.75,0.75,,2015,28/04/2016,,,,,,,,,,,,,,,,,,,,,,,,,18.4,1.9,1.9,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,HATS-7,208.857,-21.20769445,13.34,,,,,257,12,15,0.25,0.08,0.08,0.849,0.027,0.027,0.815,0.035,0.049,K2,7.8,5,5,4985,50,50,,,
Kepler-743 b,Confirmed,,,,,,,0.108,0.004,0.003,3.17926292,2.52E-06,2.52E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-743,295.574168,42.806436,,,11.234,10.837,10.777,258,,,0.01,0.095,0.093,0.94,0.03,0.03,0.85,0.02,0.02,,,,,5486,78.82,77.47,,,
Kepler-622 b,Confirmed,,,,,,,0.19,0.014,0.025,14.28226676,2.66E-05,2.66E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-622,284.478472,40.93311,,,12.689,12.073,11.909,259,,,-0.09,0.092,0.095,0.64,0.03,0.03,0.61,0.02,0.02,,,,,4201,36.96,46.67,,,
Kepler-1349 b,Confirmed,,,,,,,0.062,0.01,0.056,2.12823928,1.06E-05,1.06E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1349,286.338369,48.744099,,,10.072,9.818,9.761,260,,,0.03,0.226,0.158,1.16,0.08,0.41,1.28,0.19,1.15,,,,,6086,194.89,98.49,,,
Kepler-806 b,Confirmed,,,,,,,0.102,0.021,0.029,8.09219642,3.30E-05,3.30E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-806,296.007043,44.853443,,,10.486,10.165,10.128,260,,,0,0.149,0.07,0.99,0.06,0.07,1.16,0.18,0.34,,,,,5770,67.82,59.8,,,
WASP-75 b,Confirmed,1.07,0.05,0.05,,,,1.27,0.048,0.048,2.484193,3.00E-06,3.00E-06,0.0375,0.0008,0.0007,0,,,82,0.2,0.3,,2013,14/06/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,WASP-75,342.3875,-10.6755,11.45,,,,,260,70,70,0.07,0.09,0.09,1.14,0.06,0.07,,,,F9,,,,6100,100,100,,,
XO-3 b,Confirmed,11.79,0.59,0.59,,,,1.217,0.073,0.073,3.1915239,0.00023,0.00023,0.0454,0.00082,0.00082,0.26,0.017,0.017,84.2,0.54,0.54,0.000175,2007,31/05/2013,345.8,7.3,7.3,2454024.84,0.02,0.02,,,,2454449.868,0.00023,0.00023,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,XO-3,65.4708333,57.8169444,9.8,9.28,9.01,8.85,8.79,260,23,23,-0.08,0.04,0.04,1.41,0.08,0.08,1.49,0.08,0.08,F5V,2.82,0.82,0.82,6781,44,44,,,
Kepler-440 b,Confirmed,,,,,,,0.166,0.021,0.017,101.11141,0.00087,0.00068,0.242,0.066,0.041,0.34,0.12,0.19,89.93,0.07,0.18,,2015,07/01/2015,,,,,,,,,,2455756.299,0.0028,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,Kepler-440,285.35,41.45222223,15.5,,,,,261,16,46,-0.3,0.15,0.15,0.575,0.047,0.047,0.559,0.029,0.054,,1.3,0.6,0.2,4134,154,154,,,
Kepler-1540 b,Confirmed,,,,,,,0.222,0.012,0.017,125.4131177,0.0004189,0.0004189,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1540,283.344497,41.201741,,,12.25,11.664,11.519,262,,,0.1,0.196,0.154,0.74,0.04,0.03,0.69,0.03,0.03,,,,,4540,88.2,69.37,,,
K2-108 b,Confirmed,0.187,0.014,0.014,,,,0.471,0.048,0.048,4.73401,0.00024,0.00024,0.0573,0.001,0.001,0.18,0.042,0.042,,,,,2016,02/02/2017,,,,,,,,,,2457145.097,0.0019,0.0019,,,,,,,,,,,,,21.3,1.4,1.4,1446,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-108,123.3833333,16.41972223,12.33,,,,,262.4,,,0.33,0.04,0.04,1.121,0.053,0.065,1.75,0.14,0.14,,7.8,1.5,1.5,5474,60,60,,,EPIC 211736671
KELT-1 b,Confirmed,27.38,0.93,0.93,,,,1.116,0.029,0.038,1.217514,1.50E-05,1.50E-05,0.02472,0.00039,0.00039,0.01,0.007,0.01,87.6,1.9,1.3,,2012,27/05/2014,61,71,79,2455914.08,0.25,0.25,,,,2455914.163,0.0023,0.0023,2456181.404,0.00075,0.00096,2,16,16,,,,,,,,,,2423,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,KELT-1,0.358333342,39.38361112,10.7,,,,,263,14,14,0.052,0.079,0.079,1.335,0.063,0.063,1.471,0.045,0.045,F5,1.75,0.25,0.25,6516,49,49,,,
HD 24064 b,Confirmed,9.4,1.3,1.3,9.4,1.3,1.3,,,,555.6,3,3,1.29,0.05,0.05,0.35,0.08,0.08,,,,,2015,01/10/2015,250.8,6.3,6.3,2455278.3,11.8,11.8,,,,,,,,,,,,,,,,,,,251,9.3,9.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 24064,59.15000001,74.08000001,6.75,,,,,264.4,31.2,31.2,-0.49,0.06,0.06,1,0.1,0.1,38,2.9,2.9,K0,9,2.1,2.1,4052.5,22.5,22.5,,,
Kepler-1075 b,Confirmed,,,,,,,0.127,0.029,0.014,1.52372816,2.70E-06,2.70E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1075,287.501179,47.469269,,,13.217,12.555,12.415,265,,,-0.17,0.105,0.111,0.56,0.03,0.03,0.54,0.03,0.02,,,,,3959,38.69,39.29,,,
Kepler-1339 b,Confirmed,,,,,,,0.063,0.004,0.005,1.34155513,3.70E-06,3.70E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1339,283.745794,48.373394,,,11.026,10.697,10.627,267,,,0.01,0.11,0.112,0.94,0.04,0.03,0.93,0.05,0.06,,,,,5586,56.05,51.01,,,
HAT-P-47 b,Confirmed,0.206,0.039,0.039,,,,1.313,0.045,0.045,4.732182,1.30E-05,1.30E-05,0.0615,0.0006,0.0006,0,,,84.8,0.2,0.2,,2016,25/06/2017,,,,,,,,,,2455661.637,0.00041,0.00041,,,,,,,0.794,0.011,0.011,,,,19.9,3.8,3.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-47,38.30833334,30.36055557,10.6,,,,,268,7,7,0,0.08,0.08,1.387,0.038,0.038,1.515,0.04,0.04,,1.5,0.3,0.3,6703,50,50,,,
Kepler-992 b,Confirmed,,,,,,,0.145,0.024,0.004,20.16034462,5.02E-05,5.02E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-992,284.43028,47.641785,,,11.899,11.381,11.274,268,,,-0.04,0.098,0.101,0.8,0.03,0.03,0.74,0.02,0.02,,,,,4944,46.1,43.61,,,
Kepler-1203 b,Confirmed,,,,,,,0.095,0.004,0.005,0.58800076,5.80E-07,5.80E-07,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1203,292.773384,44.178127,,,12.861,12.191,12.059,269,,,0.01,0.088,0.092,0.64,0.02,0.02,0.61,0.02,0.01,,,,,4105,35.84,43.7,,,
Kepler-523 b,Confirmed,,,,,,,0.175,0.005,0.007,5.83598311,4.66E-06,4.66E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-523,284.06113,45.506855,,,11.283,10.908,10.827,270,,,-0.03,0.109,0.095,0.93,0.03,0.03,0.86,0.03,0.02,,,,,5515,48.73,51.74,,,
WASP-121 b,Confirmed,1.184,0.06449,0.06467,1.183,0.064,0.064,1.865,0.044,0.044,1.2749255,2.50E-07,2.50E-07,0.02544,0.0005,0.0005,0,,,87.6,0.6,0.6,,2015,11/04/2016,,,,,,,,,,2456635.708,0.0001,0.0001,,,,107.2,5,5,,,,,,,181.1,6.4,6.4,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,"TiO, H2O, VO",WASP-121,107.6,-39.09750001,10.4,,,,,270,90,90,0.13,0.09,0.09,1.353,0.079,0.06,1.458,0.03,0.03,F6V,,,,6460,140,140,,,
HD 175370 b,Confirmed,4.6,1,1,4.6,1,1,,,,349.5,4.5,4.5,0.98,0.05,0.05,0.22,0.1,0.1,,,,,2016,21/09/2016,162,28,28,2456267,30,30,,,,,,,,,,,,,,,,,,,133,25,25,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 175370,283.25,43.71361114,7.19,,,,,272,33,33,-0.52,0.07,0.07,1.02,0.16,0.16,23.5,3.4,3.4,K2 III,8.7,6,5,4301,43,43,,,
Kepler-1630 b,Confirmed,,,,,,,0.195,0.009,0.018,509.997402,0.003256,0.003256,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1630,297.508294,43.710953,,,12.499,11.836,11.803,278,,,-0.46,0.105,0.225,0.66,0.03,0.05,0.63,0.02,0.05,,,,,4736,64.28,97.3,,,
Kepler-753 b,Confirmed,,,,,,,0.17,0.008,0.022,5.74772501,8.38E-06,8.38E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-753,291.903273,37.902288,,,12.608,11.966,11.875,278,,,-0.03,0.093,0.12,0.68,0.03,0.03,0.65,0.02,0.02,,,,,4346,39.68,51.36,,,
Kepler-475 b,Confirmed,,,,,,,0.222,0.016,0.004,3.10550819,1.04E-06,1.04E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-475,287.051707,40.211542,,,11.821,11.331,11.241,280,,,0.21,0.092,0.081,0.86,0.03,0.03,0.79,0.01,0.02,,,,,5009,77.64,85,,,
Kepler-1009 b,Confirmed,,,,,,,0.194,0.021,0.024,11.35011917,2.25E-05,2.25E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1009,282.85993,42.665764,,,13.192,12.518,12.347,281,,,-0.12,0.107,0.091,0.59,0.03,0.02,0.57,0.02,0.02,,,,,4027,36.46,41.14,,,
WASP-106 b,Confirmed,1.925,0.076,0.076,,,,1.085,0.028,0.046,9.289715,1.00E-05,1.00E-05,0.0917,0.0014,0.0014,0,0,0.13,89.49,0.64,0.35,,2014,10/01/2016,,,,,,,,,,2456649.55,0.00033,0.00033,,,,,,,,,,,,,,,,1140,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-106,166.4297083,-5.079416678,11.21,,,,,283,21,21,-0.09,0.09,0.09,1.27,0.15,0.15,1.85,0.52,0.52,F9,,,,6000,150,150,,,
Kepler-441 b,Confirmed,,,,,,,0.146,0.021,0.021,207.2482,0.0022,0.0022,0.64,0.32,0.13,0.1,0.11,0.1,89.97,0.03,0.07,,2015,09/01/2015,,,,,,,,,,2455667.776,0.004,0.0065,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,Kepler-441,284.5666667,49.01277779,15.5,,,,,284,28,48,-0.57,0.18,0.18,0.572,0.05,0.05,0.55,0.038,0.054,,1.9,0.5,0.5,4340,177,177,,,
Kepler-517 b,Confirmed,,,,,,,0.238,0.02,0.029,60.92832271,7.05E-05,7.05E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-517,293.675335,41.295348,,,11.02,10.667,10.631,284,,,-0.06,0.115,0.106,0.95,0.04,0.04,0.98,0.08,0.12,,,,,5690,68.99,85.16,,,
HATS-21 b,Confirmed,0.332,0.03,0.04,,,,1.123,0.054,0.147,3.5543973,5.80E-06,5.80E-06,0.04676,0.00038,0.00038,0,,,85.04,0.65,0.23,,2016,28/07/2016,,,,,,,,,,2457109.225,0.00057,0.00057,,,,,,,0.853,0.014,0.034,,,,41.6,4.3,4.3,1284,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-21,280.1833333,-58.45916668,12.2,,,,,286,12,24,0.3,0.04,0.04,1.08,0.026,0.026,1.021,0.036,0.089,G4V,2.3,1.7,1.7,5695,67,67,,,
K2-13 b,Confirmed,,,,,,,0.169,0.085,0.085,39.91488,0.32477,0.32477,0.2114,0.0061,0.0061,,,,,,,,2015,30/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,EPIC 201629650 b,,K2-13,170.155529,2.502696,,,,,,290,18,34,-0.54,0.14,0.12,0.8,0.04,0.04,0.78,0.05,0.09,,0.78,0.05,0.09,5698,82,45,,,EPIC 201629650
Kepler-20 b,Confirmed,0.0305,0.00453,0.00444,,,,0.1667,0.003,0.0059,3.69611525,8.70E-07,1.15E-06,0.0463,0.0015,0.0009,0.03,0.03,0.09,87.355,1.594,0.215,0.000156,2011,26/08/2016,,,,,,,,,,2454967.502,0.000217,0.000253,,,,,,,,,,,,,4.2,0.65,0.55,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290,30,30,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466,93,93,,,
Kepler-20 c,Confirmed,0.04012,0.00705,0.00683,,,,0.2718,0.005,0.0057,10.85409089,2.60E-06,3.03E-06,0.0949,0.0023,0.0027,0.16,0.09,0.01,89.815,0.632,0.036,0.000321,2011,26/08/2016,,,,,,,,,,2454971.608,0.000202,0.000248,,,,,,,,,,,,,3.84,0.63,0.67,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290,30,30,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466,93,93,,,
Kepler-20 d,Confirmed,0.03168,0.0116,0.0125,,,,0.2448,0.0049,0.0065,77.61130017,0.00011588,0.00012305,0.3506,0.0101,0.0081,0.6,inf,nan,89.708,0.053,0.165,0.001191,2011,26/08/2016,,,,,,,,,,2454997.73,0.001577,0.001179,,,,,,,,,,,,,1.57,0.57,0.62,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290,30,30,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466,93,93,,,
Kepler-20 e,Confirmed,0.0097,inf,nan,,,,0.0772,0.0025,0.0023,6.09852281,1.35E-05,6.08E-06,0.0639,0.0014,0.0019,,,,87.632,0.128,1.085,0.000175,2011,26/08/2016,,,,,,,,,,2454968.932,0.000732,0.002223,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290,30,30,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466,93,93,,,
Kepler-20 f,Confirmed,0.045,,,,,,0.08948,0.0079,0.0045,19.57758478,0.00012256,9.04E-05,0.1396,0.0035,0.0036,,,,88.788,0.072,0.426,0.000379,2011,26/08/2016,,,,,,,,,,2454968.207,0.004332,0.006076,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290,30,30,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466,93,93,,,
Kepler-482 b,Confirmed,,,,,,,0.211,0.012,0.033,56.35418576,9.37E-05,9.37E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-482,296.822898,48.107555,,,12.173,11.661,11.536,290,,,-0.13,0.118,0.11,0.75,0.04,0.04,0.72,0.03,0.03,,,,,4871,61.54,63.64,,,
Kepler-20 g,Confirmed,0.0628,0.0114,0.00969,0.0628,0.0114,0.00969,,,,34.94,0.035,0.038,0.2055,0.0021,0.0022,0.15,0.1,0.01,,,,,2016,26/08/2016,,,,,,,,,,2454967.5,0.00068,0.00058,,,,,,,,,,,,,4.1,0.72,0.61,,,,,,,,,,Published in a refereed paper,Other,Theoretical,,,,Kepler-20,287.7,42.3386111,12.5,,,,,290,30,30,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466,93,93,,,
HD 220074 b,Confirmed,11.1,1.8,1.8,11.1,1.8,1.8,,,,672.1,3.7,3.7,1.6,0.1,0.1,0.14,0.05,0.05,,,,,2012,13/11/2012,323,8.5,8.5,2451158.2,31.7,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 220074,350.0583,61.97,6.4,,,,,290.2,45.5,45.5,-0.25,0.25,0.25,1.2,0.3,0.3,49.67,9.5,9.5,M2III,4.5,2.8,2.8,3935,110,110,,,
K2-19 b,Confirmed,0.187,0.0359,0.0231,0.187,0.0359,0.023,0.691,0.035,0.035,7.9194,5.00E-05,5.00E-05,0.077,0.013,0.008,0.119,0.35,0.82,88.83,0.89,1.08,,2015,06/04/2016,179,52,52,,,,,,,,,,,,,,,,0.233,0.163,0.213,,,,,,,854,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-19,174.9603334,0.603583348,12.806,12.567,11.596,11.208,11.161,291,20,33,0.1,0.04,0.04,0.93,0.05,0.05,0.86,0.04,0.04,G9V,8,inf,nan,5430,60,60,,,EPIC 201505350
K2-19 c,Confirmed,0.031,0.0063,0.0123,,,,0.434,0.039,0.055,11.90715,0.0015,0.0015,0.1032,0.008,0.0074,0.095,0.035,0.073,89.91,0.32,0.05,,2015,06/04/2016,237,68,15,,,,,,,,,,,,,,,,0.367,0.264,0.26,,,,,,,745,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-19,174.9603334,0.603583348,12.806,12.567,11.596,11.208,11.161,291,20,33,0.1,0.04,0.04,0.93,0.05,0.05,0.86,0.04,0.04,G9V,8,inf,nan,5430,60,60,,,EPIC 201505350
K2-19 d,Confirmed,,,,,,,0.102,0.012,0.012,2.50856,0.00041,0.00041,,,,,,,,,,,2015,06/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252,,,,,,,,,Submitted to a professional journal,Primary Transit,,Primary Transit,EPIC 201505350 d,,K2-19,174.9603334,0.603583348,12.806,12.567,11.596,11.208,11.161,291,20,33,0.1,0.04,0.04,0.93,0.05,0.05,0.86,0.04,0.04,G9V,8,inf,nan,5430,60,60,,,EPIC 201505350
Kepler-1027 b,Confirmed,,,,,,,0.079,0.002,0.004,1.9078052,2.46E-06,2.46E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1027,287.571185,42.813923,,,11.542,11.23,11.119,291,,,-0.06,0.087,0.107,0.91,0.02,0.03,0.82,0.02,0.02,,,,,5436,58.48,66.85,,,
