# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 233604 b,Confirmed,6.575,,,6.575,,,,,,192,0.22,0.22,0.747,,,0.05,0.03,0.03,,,,,2013,30/04/2013,281,83,83,2453022,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 233604,137.4542,53.5681,10.41,,,,,,,,-0.36,0.04,0.04,1.5,0.3,0.3,10.9,0.6,0.6,K5,2.4,1.8,1.8,4791,45,45,,,
HD 32963 b,Confirmed,0.7,0.03,0.03,0.7,0.03,0.03,,,,2372,26,26,3.41,0.02,0.02,0.07,0.04,0.04,,,,,2015,02/12/2015,107,35,35,2450532,324,324,,,,,,,,,,,,,,,,,,,11.1,0.4,0.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 32963,76.98333335,26.32805557,7.6,,,,,,,,0.11,0.05,0.05,0.94,,,,,,G5IV,4.99,3.6,6.7,5727,32,32,,,
HD 87646 A b,Confirmed,12.4,0.7,0.7,12.4,0.7,0.7,,,,13.481,0.001,0.001,0.117,0.003,0.003,0.05,0.02,0.02,,,,,2016,08/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,956,25,25,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 87646 A,151.6698704,17.89510364,8,,,,,,,,-0.17,0.08,0.08,1.12,0.09,0.09,1.55,0.22,0.22,G1IV,,,,5770,80,80,,,
HD 87646 A c,Confirmed,57,3.7,3.7,57,3.7,3.7,,,,674,4,4,1.58,0.04,0.04,0.5,0.02,0.02,,,,,2016,08/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,1370,54,54,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 87646 A,151.6698704,17.89510364,8,,,,,,,,-0.17,0.08,0.08,1.12,0.09,0.09,1.55,0.22,0.22,G1IV,,,,5770,80,80,,,
HIP 77900 b,Confirmed,20,3,7,,,,,,,,,,3200,300,300,,,,,,,,2013,26/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,Published in a refereed paper,Imaging,,,,,HIP 77900,238.625,-27.3386,,,,,,,,,,,,,,,,,,B6,,,,13700,1550,1200,,,
HU Aqr (AB) c,Confirmed,5.9,0.1,0.1,,,,,,,5646,8,8,6.18,,,0.29,0.03,0.03,,,,,2011,23/02/2016,351,1,1,2450050,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,HU Aqr (AB),316.9916667,-5.2947222,15,,,,,,,,,,,1,,,,,,Catac. var.,,,,,,,,,
KELT-6 c,Confirmed,3.71,0.21,0.21,3.71,0.21,0.21,,,,1276,67,81,2.39,0.11,0.11,0.21,0.04,0.04,,,,,2015,27/08/2015,268.7,8.8,8.8,,,,,,,,,,,,,,,,,,,,,,65.7,2.5,2.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,KELT-6,195.9833,30.64,10.38,,,,,,,,-0.27,0.06,0.06,1.126,0.058,0.058,1.529,0.137,0.143,F,4.9,0.46,0.66,6272,61,61,,,
KIC 10001893 b,Confirmed,,,,,,,,,,0.2197,,,,,,,,,,,,,2014,29/10/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,KIC 10001893,287.389191,46.984489,16,,,,,,,,,,,0.47,,,,,,,,,,26700,300,300,,,
KIC 10001893 d,Confirmed,,,,,,,,,,0.81161,,,,,,,,,,,,,2014,29/10/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,KIC 10001893,287.389191,46.984489,16,,,,,,,,,,,0.47,,,,,,,,,,26700,300,300,,,
KIC 5095269(AB) b,Confirmed,7.698,0.054,0.054,,,,,,,237.70817,0.08237,0.08237,,,,0.0604,0.0021,0.0021,105.92,0.98,0.98,,2017,07/07/2017,27.67,2.07,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,TTV,,,,KIC 5095269(AB),290.5519417,40.23502223,,13.389,12.499,12.217,12.215,,,,,,,,,,,,,F7V/M,,,,,,,,,2MASS J19221246+4014060
KIC 7917485 b,Confirmed,11.8,0.6,0.8,,,,,,,840,20,22,2.03,0.22,0.27,0.15,0.1,0.13,,,,,2016,11/08/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,KIC 7917485,299.4345833,43.63261114,13.2,,,,,,,,-0.02,0.15,0.15,1.63,0.12,0.15,,,,A,,,,7067,192,192,,,
KOI-620.02,Confirmed,0.023912154,0.00346097,0.00346097,,,,0.865377581,0.044607092,0.044607092,130.194,0.005,0.002,0.509,0.02,0.02,0.008,0.008,0.011,,,,,2014,30/05/2014,,,,,,,,,,2455695.932,0.0004,0.0004,,,,,,,,,,,,,,,,381,,,,,,,,,Published in a refereed paper,TTV,,,,,Kepler-51,296.4792,49.9378,15,,,,,,,,,,,1,,,0.91,,,,,,,5803,,,,,
Kepler-138 d,Confirmed,0.003177799,0.001069754,0.001321461,0.003177799,0.001069754,0.001321461,0.143634836,0.013381916,0.014274044,23.08933,0.00071,0.00071,,,,0.024,0.016,0.03,,,,,2014,27/07/2015,170,120,130,,,,,,,,,,,,,,,,,,,,,,,,,431,,,,,,,,,Announced on a professional conference,Radial Velocity,,,,,KOI-314,290.3833333,43.29305557,13.5,,,,,,,,,,,0.57,0.05,0.05,0.54,0.05,0.05,M1V,,,,3871,58,58,,,
Kepler-19 c,Confirmed,0.0412,0.0085,0.0085,,,,,,,28.731,0.005,0.012,,,,0.21,0.07,0.05,,,,,2011,09/08/2017,23.8,6.8,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,Theoretical,,,,Kepler-19,290.4208333,37.8516667,12,,,,,,,,-0.13,0.06,0.06,0.936,0.04,0.04,0.85,0.018,0.018,,1.9,1.7,1.7,5541,60,60,,,
Kepler-19 d,Confirmed,0.0708,0.018,0.0038,0.0708,0.018,0.0038,,,,62.95,0.3,0.04,,,,0.05,0.01,0.16,,,,,2017,22/03/2017,55.2,57,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Kepler-19,290.4208333,37.8516667,12,,,,,,,,-0.13,0.06,0.06,0.936,0.04,0.04,0.85,0.018,0.018,,1.9,1.7,1.7,5541,60,60,,,
Kepler-25 d,Confirmed,0.282855615,0.043104804,0.043104804,0.282855615,0.043104804,0.043104804,,,,123,2,2,,,,,,,,,,,2014,27/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,9.67,1.5,1.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,Kepler-25,286.6375,39.4877778,11,,,,,,,,0.01,0.09,0.09,1.22,0.06,0.06,1.36,0.13,0.13,,,,,6190,80,80,,,
Kepler-338 e,Confirmed,0.027,0.02,0.023,,,,0.1416,0.0074,0.0074,9.34149,0.0004,0.0004,,,,0.05,0.05,0.23,,,,,2014,18/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,TTV,,,,,Kepler-338,282.9789429,40.784348,,,11.098,10.841,10.756,,,,-0.106,,,1.1,,,1.74,0.08,0.08,,,,,5923,77,77,,,
38 Vir b,Confirmed,4.51,0.5,0.5,4.51,0.5,0.5,,,,825.9,6.2,6.2,1.82,0.07,0.07,0.03,0.04,0.04,,,,,2016,20/02/2017,,,,,,,,,,2455490.2,177.3,177.3,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,HD 111998 b,,38 Vir,193.2964895,-3.553099291,6.11,,,,,,,,0.07,,,1.18,0.12,0.12,1.45,0.07,0.07,F6 V,1.9,0.7,0.6,6557,96,96,,,"HIP 62875, HD 111998"
CoRoT-15 b,Confirmed,63.4,4.1,4.33,63.3,4,4,1.12,0.15,0.3,3.06036,3.00E-05,3.00E-05,0.045,0.01,0.014,0,,,86.7,3.2,2.3,,2010,23/09/2015,,,,,,,,,,2454753.561,0.0011,0.0011,,,,,,,0.38,0.26,0.26,,,,7.36,0.11,0.11,1740,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-15,97.11666668,6.186241673,,,,,,,,,,,,,,,,,,F7V,,,,,,,,,2MASS J06282781+0611105
CoRoT-21 b,Confirmed,2.26,0.31,0.31,,,,1.3,0.14,0.14,2.72474,0.00014,0.00014,0.0417,0.0011,0.0011,0,,,86.8,2.1,2.1,,2011,24/01/2014,,,,,,,,,,2454399.028,0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-21,101.05245,-0.29913,16,,,,,,,,0,0.1,0.1,1.29,0.09,0.09,1.945,0.21,0.21,F8IV,4.1,0.5,0.5,6200,100,100,,,
CoRoT-27 b,Confirmed,10.39,0.55,0.55,,,,1.007,0.044,0.044,3.57532,6.00E-05,6.00E-05,0.0476,0.0066,0.0066,0.065,0.065,0,86.7,0.87,1.2,,2012,10/07/2014,,,,,,,,,,2455748.684,0.001,0.001,,,,,,,,,,,,,,,,1500,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-27,278.4958,5.5386,15.54,,,,,,,,0.1,0.1,0.1,1.05,0.11,0.11,1.08,0.06,0.18,G2,4.21,2.72,2.72,5900,120,120,,,
CoRoT-32 b,Confirmed,0.15,0.1,0.1,,,,0.57,0.06,0.06,6.71837,1.00E-05,1.00E-05,0.071,0.001,0.001,,,,89,0.5,0.5,,2017,13/09/2017,,,,,,,,,,2455901.811,0.002,0.002,,,,,,,,,,,,,,,,938,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-32,100.1958333,9.257500011,14,,,,,,,,0,0.2,0.2,1.09,0.08,0.08,0.79,0.09,0.09,G0VI,,,,5970,100,100,,,CoRoT-223977153
CoRoT-33 b,Confirmed,59.2,1.84,1.85,59,1.8,1.8,1.1,0.53,0.53,5.819143,1.80E-05,1.80E-05,0.0579,,,0.07,0.0016,0.0016,85.5,0.5,0.5,,2015,25/08/2015,179.3,0.87,0.87,,,,,,,2456676.399,0.0037,0.0037,,,,,,,1.04,0.06,0.06,,,,7061,9,9,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-33,279.6416667,5.624722241,14.7,,,,,,,,0.44,0.1,0.1,0.86,0.004,0.004,0.94,0.008,0.14,G9V,4.6,0,5,5225,80,80,,,"USNO-A2 0900-13338694, 2MASS 18383391 + 0537287"
CoRoT-4 b,Confirmed,0.72,0.08,0.08,,,,1.19,0.05,0.05,9.20205,0.00037,0.00037,0.09,0.001,0.001,0,0,0,90,0.085,0.085,,2008,05/06/2013,,,,,,,,,,2454141.364,0.00089,0.00089,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-4,102.1958333,-0.6727778,13.7,,,,,,,,0.05,0.07,0.07,1.1,0.02,0.02,1.15,0.03,0.03,F8V,1,0.3,0.3,6190,60,60,,,
CoRoT-6 b,Confirmed,2.96,0.34,0.34,,,,1.166,0.035,0.035,8.886593,4.00E-06,4.00E-06,0.0855,0.0015,0.0015,0.1,inf,nan,89.07,0.3,0.3,,2009,05/06/2013,,,,2454595.614,0.0002,0.0002,,,,2454702.256,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-6,281.075,6.6633333,13.9,,,,,,,,-0.2,0.1,0.1,1.055,0.055,0.055,1.025,0.026,0.026,F9V,,,,6090,70,70,,,
EPIC 201295312 b,Confirmed,0.0379,,,0.0378,,,0.245,0.021,0.021,5.65639,0.00075,0.00075,,,,0.12,0.09,0.22,86.6,,,,2016,08/02/2016,,,,,,,,,,2456811.719,0.0049,0.0049,,,,,,,0.43,0.26,0.26,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,EPIC 201295312,174.0125,-2.520833347,12.5,,,,,,,,0.13,0.07,0.07,1.13,0.07,0.07,1.52,0.1,0.1,,,,,5830,70,70,,,
EPIC 201445392 c,Confirmed,,,,,,,0.215,0.029,0.029,2.50856,0.00041,0.00041,,,,,,,,,,,2015,07/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,801,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,K2-8,169.7936667,-0.284388895,14.384,14.029,12.829,12.318,12.245,,,,-0.01,0.13,0.11,0.79,0.04,0.03,0.74,0.02,0.03,,,,,4890,58,38,,,EPIC 201445392
EPIC 201713348 b,Confirmed,,,,,,,0.118,0.008,0.008,1.42266,5.00E-05,5.00E-05,,,,,,,,,,,2015,08/06/2016,,,,,,,,,,2456809.468,0.0017,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,EPIC 201713348,169.45,3.866388919,11.8,,,,,,,,-0.03,0.04,0.04,0.8,0.04,0.04,0.74,0.04,0.04,,,,,4924,60,60,,,
EPIC 201713348 c,Confirmed,,,,,,,0.25,0.028,0.038,5.34059,0.0001,0.0001,,,,,,,,,,,2015,08/06/2016,,,,,,,,,,2456812.842,0.0008,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,EPIC 201713348,169.45,3.866388919,11.8,,,,,,,,-0.03,0.04,0.04,0.8,0.04,0.04,0.74,0.04,0.04,,,,,4924,60,60,,,
